Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
0,1068,0,21.5686,159.959,138.00,46.00,15.00,3.31,14.27,27.00,-11.63,-11.50,1.07,1.23,0.08,0.08,0.00,0.00,0.00,0.00,Not active,Active,Not active,Not active
607,1068,0,21.5686,107.946,138.00,46.00,15.00,2.74,14.27,25.50,-9.62,-9.50,1.07,1.13,0.08,0.10,0.00,0.00,0.00,0.00,Not active,Active,Not active,Not active
1168,1065,0,21.5686,163.032,138.00,46.00,15.00,3.33,14.17,25.12,-12.84,-12.59,1.07,1.21,0.10,0.12,0.00,0.00,0.00,0.00,Not active,Active,Not active,Not active
1727,1060,0,23.5294,144.126,138.00,46.00,15.38,2.78,14.17,25.12,-14.65,-14.42,1.21,1.56,0.10,0.10,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
2287,1105,0,89.0196,922.661,138.00,46.00,9.00,11.19,14.27,27.00,-13.60,-12.46,4.43,2.50,0.18,0.45,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
2847,1206,0,89.4118,528.646,136.00,46.00,11.62,13.35,14.27,26.25,-11.04,-9.65,4.45,2.46,0.25,0.35,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
3407,1310,0,89.4118,514.254,137.00,46.00,12.75,12.58,14.27,26.62,-8.48,-6.83,4.45,2.56,0.20,0.47,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
3966,1401,0,89.4118,520.507,137.00,46.00,13.12,13.03,14.27,25.12,-5.91,-4.01,4.45,2.52,0.14,0.51,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
4526,1514,0,89.4118,477.99,139.00,46.00,13.50,13.55,14.27,24.75,-3.35,-1.19,4.45,2.67,0.27,0.41,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
5086,1628,0,89.4118,435.981,139.00,46.00,15.00,12.04,14.27,28.12,-0.79,0.00,4.45,2.73,0.20,0.43,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
5645,1726,0,89.4118,518.26,140.00,46.00,15.00,13.28,14.27,27.75,0.00,0.00,4.45,2.93,0.37,0.49,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
6205,1820,0,89.4118,493.78,140.00,46.00,15.38,13.34,13.76,28.50,0.00,0.00,4.45,2.89,0.29,0.41,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
6797,1942,0,89.4118,462.772,141.00,46.00,17.25,12.47,14.27,28.50,0.00,0.00,4.45,3.05,0.31,0.27,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
7404,2026,0,89.4118,500.478,142.00,46.00,16.88,13.13,14.27,27.00,0.00,0.00,4.45,3.05,0.35,0.47,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
7964,2158,0,89.4118,453.128,142.00,46.00,18.38,12.19,14.27,29.25,0.00,0.00,4.45,3.14,0.29,0.31,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
8556,2259,0,89.4118,442.7,142.00,46.00,20.25,11.47,13.97,27.00,0.00,0.00,4.45,3.06,0.39,0.33,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
9164,2352,0,89.4118,455.332,143.00,46.00,19.88,12.04,14.27,28.50,0.00,0.00,4.45,3.14,0.41,0.37,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
9755,2480,0,89.4118,517.518,143.00,46.00,18.38,13.80,14.17,28.12,0.00,0.00,4.45,3.20,0.62,0.45,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
10363,2590,0,89.4118,497.68,144.00,46.00,19.12,13.38,14.17,27.00,0.00,0.00,4.45,3.26,0.70,0.45,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
10955,2683,0,89.4118,513.555,143.00,46.00,19.50,13.47,13.66,28.88,0.00,0.00,4.45,3.42,1.27,0.61,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
11562,2818,0,89.4118,480.575,144.00,46.00,20.62,12.68,14.17,26.25,0.00,0.00,4.45,3.46,0.92,1.42,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
12154,2935,0,89.4118,505.903,144.00,46.00,19.50,12.72,14.17,28.50,0.00,0.00,4.45,3.38,1.03,0.53,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
12762,3036,0,89.4118,512.41,144.00,46.00,18.38,13.15,13.56,28.12,0.00,0.00,4.45,3.49,0.62,0.51,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
13353,3148,0,89.4118,554.631,144.00,46.00,16.50,14.49,13.97,25.50,0.00,0.00,4.45,3.53,0.82,0.84,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
13961,3266,0,89.4118,546.492,144.00,46.00,16.50,14.49,14.07,25.12,0.00,0.00,4.45,3.53,0.61,0.45,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
14569,3351,0,89.4118,485.387,144.00,46.00,16.88,12.89,13.56,27.75,0.00,0.00,4.45,3.63,0.62,0.51,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
15161,3460,0,89.4118,512.643,144.00,46.00,16.50,13.79,14.27,27.75,0.00,0.00,4.45,3.63,0.70,0.49,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
15768,3566,0,89.4118,569.086,144.00,46.00,16.50,14.84,14.07,25.50,0.00,0.00,4.45,3.81,0.74,0.45,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
16360,3692,0,89.4118,575.614,145.00,46.00,16.12,15.02,13.66,25.50,0.00,0.00,4.45,3.85,0.62,0.41,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
16968,3808,0,89.4118,600.03,145.00,46.00,15.38,15.81,14.27,25.88,0.00,0.00,4.45,3.96,0.78,0.62,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
17560,3919,0,89.4118,589.412,145.00,46.00,15.00,15.58,14.17,25.12,0.00,0.00,4.45,4.02,0.66,0.57,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
18167,4017,0,89.4118,628.283,145.00,46.00,15.00,16.63,14.27,25.50,0.00,0.00,4.45,4.06,0.68,0.64,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
18727,4163,0,89.4118,629.937,145.00,46.00,15.38,17.59,13.56,27.75,0.00,0.00,4.45,4.20,0.78,0.84,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
19287,4272,0,89.4118,661.348,145.00,46.00,15.75,18.07,13.76,25.50,0.00,0.00,4.45,4.27,0.88,0.78,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
19846,4377,0,89.4118,637.864,145.00,46.00,16.12,17.62,13.56,27.75,0.00,0.00,4.45,4.31,0.68,0.49,0.00,0.00,0.00,0.00,Active,Active,Not active,Not active
