Time(ms),Engine RPM(1/min),Vehicle speed(km/h),Throttle(%),Engine load(mg/stk),Intake air temperature(V),Engine coolant temperature(V),Ignition(Deg),Injection(ms),Battery(V),Vanos angle(Deg),Lambda integrator 1(),Lambda integrator 2(),TPS(V),MAF(V),Knock 1(V),Knock 2(V),Additive correction 1(ms),Additive correction 2(ms),Multiplicative correction 1(ms),Multiplicative correction 2(ms),Idle load(),Part load(),Full load(),Vanos advanced()
0,1239,0,19.6078,98.6415,153.00,42.00,15.75,1.17,14.27,20.25,0.00,0.00,-,1.02,0.49,0.00,-,-,-,-,Not active,Active,Not active,Not active
400,1248,0,19.6078,93.4911,152.00,42.00,16.12,1.17,14.27,20.62,0.00,0.00,-,1.07,0.33,0.00,-,-,-,-,Not active,Active,Not active,Not active
800,1246,0,31.7647,414.701,153.00,42.00,16.50,3.05,14.27,20.25,0.00,0.00,-,2.75,0.43,0.00,-,-,-,-,Not active,Active,Not active,Not active
1199,1275,0,86.6667,405.27,153.00,42.00,15.38,7.12,14.27,19.50,0.00,0.00,-,2.32,0.55,0.00,-,-,-,-,Active,Active,Not active,Not active
1600,1331,0,87.8431,388.208,152.00,42.00,16.88,6.90,14.27,19.12,0.00,0.00,-,2.36,1.03,0.00,-,-,-,-,Active,Active,Not active,Not active
2031,1366,0,87.8431,378.267,153.00,42.00,17.62,6.53,14.27,19.50,0.00,0.00,-,2.40,0.84,0.00,-,-,-,-,Active,Active,Not active,Not active
2479,1424,0,87.8431,362.858,154.00,42.00,18.00,6.12,14.27,19.50,0.00,0.00,-,2.50,1.02,0.00,-,-,-,-,Active,Active,Not active,Not active
2911,1485,0,87.8431,347.958,156.00,42.00,19.12,5.71,14.17,20.25,0.00,0.00,-,2.48,1.27,0.00,-,-,-,-,Active,Active,Not active,Not active
3358,1551,0,87.8431,333.143,156.00,42.00,20.62,5.31,14.27,19.12,0.00,0.00,-,2.60,1.09,0.00,-,-,-,-,Active,Active,Not active,Not active
3790,1617,0,87.8431,319.536,156.00,42.00,22.50,4.91,14.27,20.25,0.00,0.00,-,2.65,1.19,0.00,-,-,-,-,Active,Active,Not active,Not active
4238,1682,0,87.8431,307.2,157.00,42.00,24.00,4.51,14.27,19.12,0.00,0.00,-,2.67,1.11,0.00,-,-,-,-,Active,Active,Not active,Not active
4670,1742,0,87.8431,296.624,158.00,42.00,25.50,4.27,14.27,19.12,0.00,0.00,-,2.73,1.23,0.00,-,-,-,-,Active,Active,Not active,Not active
5117,1811,0,87.8431,385.791,159.00,42.00,24.38,6.42,14.27,20.25,0.00,0.00,-,2.77,1.09,0.00,-,-,-,-,Active,Active,Not active,Not active
5549,1858,0,87.8431,390.984,161.00,42.00,23.62,6.78,14.27,19.88,0.00,0.00,-,2.83,0.47,0.00,-,-,-,-,Active,Active,Not active,Not active
5997,1927,0,87.8431,402.938,161.00,42.00,24.00,7.00,14.27,19.88,0.00,0.00,-,2.95,0.31,0.00,-,-,-,-,Active,Active,Not active,Not active
6429,1983,0,87.8431,407.665,162.00,42.00,23.62,7.16,14.27,19.88,0.00,0.00,-,3.01,0.62,0.00,-,-,-,-,Active,Active,Not active,Not active
6877,2052,0,87.8431,391.239,163.00,42.00,24.00,7.21,14.27,20.25,0.00,0.00,-,2.99,0.45,0.00,-,-,-,-,Active,Active,Not active,Not active
7325,2121,0,87.8431,413.239,163.00,42.00,24.00,7.21,13.97,20.62,0.00,0.00,-,3.05,0.55,0.00,-,-,-,-,Active,Active,Not active,Not active
7756,2171,0,87.8431,419.703,164.00,42.00,24.38,7.29,14.27,21.38,0.00,0.00,-,3.08,0.39,0.33,-,-,-,-,Active,Active,Not active,Not active
8188,2240,0,87.8431,432.823,165.00,42.00,24.38,7.43,14.17,21.00,0.00,0.00,-,3.16,0.37,0.00,-,-,-,-,Active,Active,Not active,Not active
8636,2315,0,87.8431,431.403,166.00,42.00,24.75,7.61,14.07,20.25,0.00,0.00,-,3.26,0.31,0.00,-,-,-,-,Active,Active,Not active,Not active
9068,2367,0,87.8431,441.873,167.00,42.00,24.75,7.76,14.27,21.00,0.00,0.00,-,3.32,0.49,0.00,-,-,-,-,Active,Active,Not active,Not active
9516,2439,0,87.8431,450.479,167.00,42.00,25.12,7.82,14.27,20.62,0.00,0.00,-,3.30,0.55,0.00,-,-,-,-,Active,Active,Not active,Not active
9963,2508,0,87.8431,454.145,168.00,42.00,25.50,7.89,14.17,21.38,0.00,0.00,-,3.36,0.43,0.20,-,-,-,-,Active,Active,Not active,Not active
10395,2589,0,87.8431,452.28,169.00,42.00,26.25,7.89,14.27,21.00,0.00,0.00,-,3.44,0.57,0.35,-,-,-,-,Active,Active,Not active,Not active
10843,2663,0,87.8431,455.862,169.00,42.00,27.00,7.98,14.27,21.00,0.00,0.00,-,3.44,0.98,0.35,-,-,-,-,Active,Active,Not active,Not active
11275,2746,0,87.8431,481.55,169.00,42.00,27.75,8.30,13.97,21.00,0.00,0.00,-,3.59,0.78,0.66,-,-,-,-,Active,Active,Not active,Not active
11722,2843,0,87.8431,469.024,169.00,42.00,28.88,8.49,14.27,21.00,0.00,0.00,-,3.63,1.09,0.61,-,-,-,-,Active,Active,Not active,Not active
12154,2927,0,87.8431,498.761,170.00,42.00,29.62,8.69,14.07,19.88,0.00,0.00,-,3.73,1.48,0.80,-,-,-,-,Active,Active,Not active,Not active
